endpoint1,endpoint2,step,time_index,time,f1,f2,f3
w01aw,w01iy,1,1,0.092,716,1123,2743
w01aw,w01iy,1,2,0.104,735,1136,2753
w01aw,w01iy,1,3,0.115,780,1176,2777
w01aw,w01iy,1,4,0.127,805,1220,2795
w01aw,w01iy,1,5,0.138,818,1238,2807
w01aw,w01iy,1,6,0.15,825,1239,2805
w01aw,w01iy,1,7,0.161,821,1225,2815
w01aw,w01iy,1,8,0.173,813,1208,2826
w01aw,w01iy,1,9,0.184,811,1197,2822
w01aw,w01iy,1,10,0.196,809,1193,2822
w01aw,w01iy,1,11,0.207,807,1194,2828
w01aw,w01iy,1,12,0.219,815,1208,2834
w01aw,w01iy,1,13,0.23,819,1220,2838
w01aw,w01iy,1,14,0.242,817,1227,2845
w01aw,w01iy,1,15,0.253,817,1236,2855
w01aw,w01iy,1,16,0.264,822,1251,2861
w01aw,w01iy,1,17,0.276,826,1270,2869
w01aw,w01iy,1,18,0.287,824,1284,2883
w01aw,w01iy,1,19,0.299,826,1306,2891
w01aw,w01iy,1,20,0.31,832,1343,2908
w01aw,w01iy,1,21,0.322,843,1419,2883
w01aw,w01iy,1,22,0.333,842,1461,2809
w01aw,w01iy,1,23,0.345,833,1497,2793
w01aw,w01iy,1,24,0.356,810,1533,2794
w01aw,w01iy,1,25,0.368,768,1575,2815
w01aw,w01iy,1,26,0.379,716,1610,2806
w01aw,w01iy,1,27,0.391,672,1666,2805
w01aw,w01iy,1,28,0.402,602,1882,2829
w01aw,w01iy,1,29,0.414,506,1982,2878
w01aw,w01iy,1,30,0.425,457,1975,2898
w01aw,w01iy,2,1,0.092,622,1417,2743
w01aw,w01iy,2,2,0.104,644,1427,2753
w01aw,w01iy,2,3,0.115,687,1464,2777
w01aw,w01iy,2,4,0.127,710,1502,2795
w01aw,w01iy,2,5,0.138,723,1516,2807
w01aw,w01iy,2,6,0.15,727,1519,2805
w01aw,w01iy,2,7,0.161,722,1515,2815
w01aw,w01iy,2,8,0.173,715,1507,2826
w01aw,w01iy,2,9,0.184,713,1497,2822
w01aw,w01iy,2,10,0.196,711,1492,2822
w01aw,w01iy,2,11,0.207,710,1491,2828
w01aw,w01iy,2,12,0.219,716,1502,2834
w01aw,w01iy,2,13,0.23,718,1511,2838
w01aw,w01iy,2,14,0.242,717,1517,2845
w01aw,w01iy,2,15,0.253,717,1523,2855
w01aw,w01iy,2,16,0.264,720,1535,2861
w01aw,w01iy,2,17,0.276,723,1552,2869
w01aw,w01iy,2,18,0.287,722,1564,2883
w01aw,w01iy,2,19,0.299,723,1583,2891
w01aw,w01iy,2,20,0.31,727,1616,2908
w01aw,w01iy,2,21,0.322,735,1684,2883
w01aw,w01iy,2,22,0.333,734,1721,2809
w01aw,w01iy,2,23,0.345,727,1754,2793
w01aw,w01iy,2,24,0.356,711,1787,2794
w01aw,w01iy,2,25,0.368,681,1824,2815
w01aw,w01iy,2,26,0.379,644,1849,2806
w01aw,w01iy,2,27,0.391,614,1885,2805
w01aw,w01iy,2,28,0.402,564,2053,2829
w01aw,w01iy,2,29,0.414,493,2114,2878
w01aw,w01iy,2,30,0.425,457,2084,2898
w01aw,w01iy,3,1,0.092,535,1772,2743
w01aw,w01iy,3,2,0.104,559,1778,2753
w01aw,w01iy,3,3,0.115,600,1809,2777
w01aw,w01iy,3,4,0.127,622,1840,2795
w01aw,w01iy,3,5,0.138,633,1847,2807
w01aw,w01iy,3,6,0.15,636,1853,2805
w01aw,w01iy,3,7,0.161,629,1863,2815
w01aw,w01iy,3,8,0.173,624,1867,2826
w01aw,w01iy,3,9,0.184,623,1860,2822
w01aw,w01iy,3,10,0.196,621,1853,2822
w01aw,w01iy,3,11,0.207,620,1849,2828
w01aw,w01iy,3,12,0.219,623,1855,2834
w01aw,w01iy,3,13,0.23,624,1862,2838
w01aw,w01iy,3,14,0.242,624,1865,2845
w01aw,w01iy,3,15,0.253,624,1866,2855
w01aw,w01iy,3,16,0.264,626,1874,2861
w01aw,w01iy,3,17,0.276,628,1887,2869
w01aw,w01iy,3,18,0.287,627,1896,2883
w01aw,w01iy,3,19,0.299,627,1911,2891
w01aw,w01iy,3,20,0.31,629,1938,2908
w01aw,w01iy,3,21,0.322,634,1994,2883
w01aw,w01iy,3,22,0.333,634,2024,2809
w01aw,w01iy,3,23,0.345,629,2051,2793
w01aw,w01iy,3,24,0.356,618,2081,2794
w01aw,w01iy,3,25,0.368,600,2111,2815
w01aw,w01iy,3,26,0.379,577,2122,2806
w01aw,w01iy,3,27,0.391,559,2133,2805
w01aw,w01iy,3,28,0.402,527,2239,2829
w01aw,w01iy,3,29,0.414,481,2255,2878
w01aw,w01iy,3,30,0.425,457,2199,2898
w01aw,w01iy,4,1,0.092,453,2211,2743
w01aw,w01iy,4,2,0.104,479,2210,2753
w01aw,w01iy,4,3,0.115,518,2232,2777
w01aw,w01iy,4,4,0.127,539,2251,2795
w01aw,w01iy,4,5,0.138,550,2248,2807
w01aw,w01iy,4,6,0.15,551,2257,2805
w01aw,w01iy,4,7,0.161,543,2288,2815
w01aw,w01iy,4,8,0.173,539,2312,2826
w01aw,w01iy,4,9,0.184,538,2308,2822
w01aw,w01iy,4,10,0.196,536,2299,2822
w01aw,w01iy,4,11,0.207,535,2291,2828
w01aw,w01iy,4,12,0.219,536,2289,2834
w01aw,w01iy,4,13,0.23,537,2291,2838
w01aw,w01iy,4,14,0.242,537,2290,2845
w01aw,w01iy,4,15,0.253,537,2285,2855
w01aw,w01iy,4,16,0.264,537,2286,2861
w01aw,w01iy,4,17,0.276,539,2293,2869
w01aw,w01iy,4,18,0.287,539,2297,2883
w01aw,w01iy,4,19,0.299,538,2307,2891
w01aw,w01iy,4,20,0.31,539,2323,2908
w01aw,w01iy,4,21,0.322,541,2361,2883
w01aw,w01iy,4,22,0.333,541,2382,2809
w01aw,w01iy,4,23,0.345,537,2400,2793
w01aw,w01iy,4,24,0.356,532,2425,2794
w01aw,w01iy,4,25,0.368,523,2445,2815
w01aw,w01iy,4,26,0.379,513,2437,2806
w01aw,w01iy,4,27,0.391,506,2415,2805
w01aw,w01iy,4,28,0.402,491,2445,2829
w01aw,w01iy,4,29,0.414,469,2407,2878
w01aw,w01iy,4,30,0.425,457,2320,2898
w01aw,w01iy,5,1,0.092,376,2767,2743
w01aw,w01iy,5,2,0.104,404,2755,2753
w01aw,w01iy,5,3,0.115,442,2761,2777
w01aw,w01iy,5,4,0.127,462,2761,2795
w01aw,w01iy,5,5,0.138,472,2744,2807
w01aw,w01iy,5,6,0.15,471,2757,2805
w01aw,w01iy,5,7,0.161,462,2819,2815
w01aw,w01iy,5,8,0.173,460,2872,2826
w01aw,w01iy,5,9,0.184,458,2876,2822
w01aw,w01iy,5,10,0.196,457,2863,2822
w01aw,w01iy,5,11,0.207,455,2849,2828
w01aw,w01iy,5,12,0.219,455,2834,2834
w01aw,w01iy,5,13,0.23,455,2829,2838
w01aw,w01iy,5,14,0.242,456,2821,2845
w01aw,w01iy,5,15,0.253,455,2807,2855
w01aw,w01iy,5,16,0.264,455,2796,2861
w01aw,w01iy,5,17,0.276,456,2795,2869
w01aw,w01iy,5,18,0.287,456,2792,2883
w01aw,w01iy,5,19,0.299,455,2792,2891
w01aw,w01iy,5,20,0.31,454,2794,2908
w01aw,w01iy,5,21,0.322,454,2803,2883
w01aw,w01iy,5,22,0.333,454,2810,2809
w01aw,w01iy,5,23,0.345,452,2816,2793
w01aw,w01iy,5,24,0.356,452,2834,2794
w01aw,w01iy,5,25,0.368,451,2839,2815
w01aw,w01iy,5,26,0.379,452,2806,2806
w01aw,w01iy,5,27,0.391,455,2738,2805
w01aw,w01iy,5,28,0.402,457,2673,2829
w01aw,w01iy,5,29,0.414,457,2570,2878
w01aw,w01iy,5,30,0.425,457,2449,2898
